"Latitude (decimal degrees):	39.483"
"Longitude (decimal degrees):	-0.338"
"Elevation (m):	4"
"Radiation database:	PVGIS-SARAH2"


Slope: 36 deg. (optimum)
Azimuth: 0 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,6.26,1.45,0.0
20200101:0110,0.0,0.0,5.39,1.59,0.0
20200101:0210,0.0,0.0,5.03,1.66,0.0
20200101:0310,0.0,0.0,4.76,1.86,0.0
20200101:0410,0.0,0.0,4.57,1.93,0.0
20200101:0510,0.0,0.0,4.44,2.0,0.0
20200101:0610,0.0,0.0,4.36,2.0,0.0
20200101:0710,0.0,0.0,4.48,1.79,0.0
20200101:0810,139.7,6.95,4.79,1.86,0.0
20200101:0910,264.77,15.4,7.11,1.45,0.0
20200101:1010,751.46,22.02,9.53,1.17,0.0
20200101:1110,858.79,26.22,11.26,0.76,0.0
20200101:1210,875.2,27.5,12.31,0.21,0.0
20200101:1310,834.16,25.67,12.91,0.41,0.0
20200101:1410,719.66,20.99,13.24,0.97,0.0
20200101:1510,530.01,13.99,13.25,1.38,0.0
20200101:1610,213.68,5.28,12.64,1.59,0.0
20200101:1710,0.0,0.0,11.31,1.66,0.0
20200101:1810,0.0,0.0,9.89,1.24,0.0
20200101:1910,0.0,0.0,9.92,0.9,0.0
20200101:2010,0.0,0.0,10.0,0.69,0.0
20200101:2110,0.0,0.0,7.66,1.31,0.0
20200101:2210,0.0,0.0,7.0,1.66,0.0
20200101:2310,0.0,0.0,6.67,1.79,0.0
20200102:0010,0.0,0.0,6.31,1.86,0.0
20200102:0110,0.0,0.0,6.01,1.86,0.0
20200102:0210,0.0,0.0,5.51,1.72,0.0
20200102:0310,0.0,0.0,4.96,1.79,0.0
20200102:0410,0.0,0.0,4.58,1.79,0.0
20200102:0510,0.0,0.0,4.55,1.86,0.0
20200102:0610,0.0,0.0,4.42,1.86,0.0
20200102:0710,0.0,0.0,4.61,1.79,0.0
20200102:0810,109.82,6.95,4.79,1.79,0.0
20200102:0910,520.23,15.41,7.11,1.31,0.0
20200102:1010,768.44,22.05,9.74,0.83,0.0
20200102:1110,855.06,26.28,11.36,0.21,0.0
20200102:1210,842.15,27.58,12.38,0.41,0.0
20200102:1310,818.25,25.78,13.21,0.97,0.0
20200102:1410,737.72,21.11,13.78,1.45,0.0
20200102:1510,520.86,14.12,13.76,2.0,0.0
20200102:1610,251.56,5.42,12.86,2.14,0.0
20200102:1710,0.0,0.0,11.52,1.93,0.0
20200102:1810,0.0,0.0,10.42,1.31,0.0
20200102:1910,0.0,0.0,9.28,1.24,0.0
20200102:2010,0.0,0.0,8.08,1.38,0.0
20200102:2110,0.0,0.0,7.23,1.52,0.0
20200102:2210,0.0,0.0,6.32,1.66,0.0
20200102:2310,0.0,0.0,5.8,1.72,0.0
20200103:0010,0.0,0.0,5.36,1.79,0.0
20200103:0110,0.0,0.0,4.91,1.79,0.0
20200103:0210,0.0,0.0,4.57,1.79,0.0
20200103:0310,0.0,0.0,4.51,1.93,0.0
20200103:0410,0.0,0.0,4.56,2.07,0.0
20200103:0510,0.0,0.0,4.61,2.14,0.0
20200103:0610,0.0,0.0,4.85,2.14,0.0
20200103:0710,0.0,0.0,4.78,2.0,0.0
20200103:0810,134.67,6.95,4.91,2.07,0.0
20200103:0910,561.39,15.43,6.68,1.66,0.0
20200103:1010,732.84,22.1,8.92,1.17,0.0
20200103:1110,721.97,26.35,10.66,0.62,0.0
20200103:1210,753.04,27.68,12.03,0.76,0.0
20200103:1310,734.09,25.89,12.77,1.03,0.0
20200103:1410,665.87,21.24,13.14,1.24,0.0
20200103:1510,387.83,14.26,12.98,1.59,0.0
20200103:1610,93.01,5.55,12.23,1.79,0.0
20200103:1710,0.0,0.0,11.2,1.66,0.0
20200103:1810,0.0,0.0,10.28,1.17,0.0
20200103:1910,0.0,0.0,10.45,0.69,0.0
20200103:2010,0.0,0.0,9.32,1.1,0.0
20200103:2110,0.0,0.0,7.66,1.52,0.0
20200103:2210,0.0,0.0,6.95,1.66,0.0
20200103:2310,0.0,0.0,6.51,1.79,0.0
20200104:0010,0.0,0.0,6.45,2.07,0.0
20200104:0110,0.0,0.0,6.47,2.28,0.0
20200104:0210,0.0,0.0,6.43,2.41,0.0
20200104:0310,0.0,0.0,6.56,2.55,0.0
20200104:0410,0.0,0.0,6.61,2.55,0.0
20200104:0510,0.0,0.0,6.59,2.55,0.0
20200104:0610,0.0,0.0,6.6,2.55,0.0
20200104:0710,0.0,0.0,6.22,2.62,0.0
20200104:0810,286.54,6.96,6.31,2.62,0.0
20200104:0910,583.83,15.46,7.64,2.48,0.0
20200104:1010,777.76,22.15,9.86,2.21,0.0
20200104:1110,861.55,26.43,12.01,1.72,0.0
20200104:1210,872.11,27.78,13.54,1.24,0.0
20200104:1310,832.86,26.01,14.41,1.1,0.0
20200104:1410,740.29,21.37,14.82,1.38,0.0
20200104:1510,545.48,14.4,14.7,1.72,0.0
20200104:1610,268.06,5.7,13.88,2.07,0.0
20200104:1710,0.0,0.0,12.31,2.28,0.0
20200104:1810,0.0,0.0,11.11,1.86,0.0
20200104:1910,0.0,0.0,10.25,0.97,0.0
20200104:2010,0.0,0.0,8.97,1.17,0.0
20200104:2110,0.0,0.0,7.2,1.52,0.0
20200104:2210,0.0,0.0,6.38,1.93,0.0
20200104:2310,0.0,0.0,6.27,2.28,0.0
20200105:0010,0.0,0.0,6.39,2.69,0.0
20200105:0110,0.0,0.0,6.37,2.76,0.0
20200105:0210,0.0,0.0,6.27,2.76,0.0
20200105:0310,0.0,0.0,6.1,2.83,0.0
20200105:0410,0.0,0.0,5.9,2.76,0.0
20200105:0510,0.0,0.0,5.73,2.69,0.0
20200105:0610,0.0,0.0,5.48,2.69,0.0
20200105:0710,0.0,0.0,5.4,2.69,0.0
20200105:0810,285.33,6.97,5.4,2.69,0.0
20200105:0910,586.89,15.49,7.1,2.34,0.0
20200105:1010,789.84,22.21,10.01,1.93,0.0
20200105:1110,888.99,26.52,12.71,1.52,0.0
20200105:1210,880.58,27.89,14.78,1.17,0.0
20200105:1310,825.88,26.14,16.06,1.17,0.0
20200105:1410,760.72,21.51,16.67,1.52,0.0
20200105:1510,567.29,14.55,16.57,1.86,0.0
20200105:1610,277.13,5.84,15.42,2.14,0.0
20200105:1710,0.0,0.0,13.58,2.07,0.0
20200105:1810,0.0,0.0,11.99,1.38,0.0
20200105:1910,0.0,0.0,12.3,0.55,0.0
20200105:2010,0.0,0.0,11.12,0.97,0.0
20200105:2110,0.0,0.0,8.12,1.45,0.0
20200105:2210,0.0,0.0,6.48,1.66,0.0
20200105:2310,0.0,0.0,5.86,1.79,0.0
20200106:0010,0.0,0.0,5.65,1.93,0.0
20200106:0110,0.0,0.0,5.41,2.0,0.0
20200106:0210,0.0,0.0,5.15,1.93,0.0
20200106:0310,0.0,0.0,4.8,1.79,0.0
20200106:0410,0.0,0.0,4.55,1.86,0.0
20200106:0510,0.0,0.0,4.41,2.0,0.0
20200106:0610,0.0,0.0,4.51,2.14,0.0
20200106:0710,0.0,0.0,4.42,2.0,0.0
20200106:0810,292.62,6.99,4.77,1.93,0.0
20200106:0910,561.43,15.54,7.27,1.52,0.0
20200106:1010,766.59,22.28,10.53,0.9,0.0
20200106:1110,894.26,26.61,12.16,0.28,0.0
20200106:1210,870.83,28.01,13.1,0.14,0.0
20200106:1310,854.95,26.28,13.78,0.55,0.0
20200106:1410,733.8,21.66,14.19,0.9,0.0
20200106:1510,556.68,14.7,14.21,1.31,0.0
20200106:1610,277.78,6.0,13.41,1.86,0.0
20200106:1710,0.0,0.0,11.8,2.07,0.0
20200106:1810,0.0,0.0,10.55,1.52,0.0
20200106:1910,0.0,0.0,9.96,0.76,0.0
20200106:2010,0.0,0.0,9.91,0.69,0.0
20200106:2110,0.0,0.0,8.14,1.24,0.0
20200106:2210,0.0,0.0,5.89,1.72,0.0
20200106:2310,0.0,0.0,5.37,1.72,0.0
20200107:0010,0.0,0.0,5.01,1.72,0.0
20200107:0110,0.0,0.0,5.01,1.93,0.0
20200107:0210,0.0,0.0,5.08,2.07,0.0
20200107:0310,0.0,0.0,5.21,2.07,0.0
20200107:0410,0.0,0.0,5.2,2.14,0.0
20200107:0510,0.0,0.0,5.09,2.28,0.0
20200107:0610,0.0,0.0,4.94,2.34,0.0
20200107:0710,0.0,0.0,5.22,2.28,0.0
20200107:0810,297.24,7.02,5.15,2.28,0.0
20200107:0910,569.55,15.58,6.9,1.79,0.0
20200107:1010,770.75,22.35,9.57,1.24,0.0
20200107:1110,891.71,26.71,11.78,0.34,0.0
20200107:1210,874.87,28.13,13.19,0.69,0.0
20200107:1310,866.68,26.42,14.09,1.24,0.0
20200107:1410,739.3,21.81,14.59,1.66,0.0
20200107:1510,549.36,14.85,14.6,1.79,0.0
20200107:1610,257.12,6.15,13.84,1.79,0.0
20200107:1710,0.0,0.0,12.31,1.86,0.0
20200107:1810,0.0,0.0,11.03,1.31,0.0
20200107:1910,0.0,0.0,10.95,0.83,0.0
20200107:2010,0.0,0.0,11.05,0.41,0.0
20200107:2110,0.0,0.0,8.43,1.38,0.0
20200107:2210,0.0,0.0,5.82,1.86,0.0
20200107:2310,0.0,0.0,5.74,2.14,0.0
20200108:0010,0.0,0.0,5.85,2.41,0.0
20200108:0110,0.0,0.0,5.99,2.48,0.0
20200108:0210,0.0,0.0,5.99,2.55,0.0
20200108:0310,0.0,0.0,5.91,2.62,0.0
20200108:0410,0.0,0.0,5.85,2.48,0.0
20200108:0510,0.0,0.0,5.87,2.28,0.0
20200108:0610,0.0,0.0,5.84,2.21,0.0
20200108:0710,0.0,0.0,5.88,2.14,0.0
20200108:0810,152.87,7.06,5.92,2.07,0.0
20200108:0910,272.92,15.64,7.96,1.59,0.0
20200108:1010,92.34,22.43,11.09,1.38,0.0
20200108:1110,71.1,26.82,12.95,1.59,0.0
20200108:1210,286.55,28.26,13.88,2.28,0.0
20200108:1310,780.82,26.57,14.42,2.41,0.0
20200108:1410,723.01,21.97,14.52,2.07,0.0
20200108:1510,532.0,15.02,14.41,1.93,0.0
20200108:1610,267.55,6.31,13.82,1.93,0.0
20200108:1710,0.0,0.0,12.57,1.93,0.0
20200108:1810,0.0,0.0,11.3,1.38,0.0
20200108:1910,0.0,0.0,11.36,0.55,0.0
20200108:2010,0.0,0.0,9.12,1.24,0.0
20200108:2110,0.0,0.0,7.26,1.66,0.0
20200108:2210,0.0,0.0,6.64,1.79,0.0
20200108:2310,0.0,0.0,6.56,1.86,0.0
20200109:0010,0.0,0.0,6.71,2.07,0.0
20200109:0110,0.0,0.0,6.86,2.28,0.0
20200109:0210,0.0,0.0,7.01,2.34,0.0
20200109:0310,0.0,0.0,7.01,2.41,0.0
20200109:0410,0.0,0.0,6.96,2.34,0.0
20200109:0510,0.0,0.0,6.96,2.28,0.0
20200109:0610,0.0,0.0,6.87,2.34,0.0
20200109:0710,0.0,0.0,6.59,2.28,0.0
