Latitude (decimal degrees):	39.482
Longitude (decimal degrees):	-0.338
Elevation (m):	12
Radiation database:	PVGIS-SARAH2


Slope: 36 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20150101:0010,0.0,0.0,4.06,2.14,0.0
20150101:0110,0.0,0.0,4.41,2.07,0.0
20150101:0210,0.0,0.0,4.72,2.0,0.0
20150101:0310,0.0,0.0,5.02,1.93,0.0
20150101:0410,0.0,0.0,5.69,1.86,0.0
20150101:0510,0.0,0.0,6.06,1.79,0.0
20150101:0610,0.0,0.0,6.36,1.72,0.0
20150101:0710,0.0,0.0,6.77,1.72,0.0
20150101:0810,253.26,6.95,7.1,1.86,0.0
20150101:0910,361.66,15.4,8.19,2.07,0.0
20150101:1010,650.91,22.02,9.51,2.34,0.0
20150101:1110,846.9,26.22,10.84,2.62,0.0
20150101:1210,903.07,27.5,11.73,2.21,0.0
20150101:1310,845.68,25.67,12.47,1.93,0.0
20150101:1410,708.93,20.99,13.09,1.66,0.0
20150101:1510,510.56,14.0,13.25,1.45,0.0
20150101:1610,222.1,5.28,12.71,1.93,0.0
20150101:1710,0.0,0.0,11.15,2.41,0.0
20150101:1810,0.0,0.0,9.98,2.34,0.0
20150101:1910,0.0,0.0,9.13,2.07,0.0
20150101:2010,0.0,0.0,7.58,1.59,0.0
20150101:2110,0.0,0.0,6.39,1.45,0.0
20150101:2210,0.0,0.0,4.96,1.79,0.0
20150101:2310,0.0,0.0,4.57,2.14,0.0
20150102:0010,0.0,0.0,4.56,2.41,0.0
20150102:0110,0.0,0.0,4.45,2.48,0.0
20150102:0210,0.0,0.0,4.34,2.48,0.0
20150102:0310,0.0,0.0,4.21,2.62,0.0
20150102:0410,0.0,0.0,4.08,2.69,0.0
20150102:0510,0.0,0.0,4.01,2.69,0.0
20150102:0610,0.0,0.0,3.91,2.69,0.0
20150102:0710,0.0,0.0,3.75,2.97,0.0
20150102:0810,286.85,6.95,3.79,2.97,0.0
20150102:0910,553.73,15.41,5.6,2.55,0.0
20150102:1010,762.05,22.06,8.64,2.14,0.0
20150102:1110,855.71,26.28,11.48,1.59,0.0
20150102:1210,903.57,27.58,13.6,1.1,0.0
20150102:1310,853.81,25.78,14.93,0.55,0.0
20150102:1410,717.4,21.11,15.42,1.03,0.0
20150102:1510,514.58,14.12,15.17,1.45,0.0
20150102:1610,227.88,5.42,14.12,1.45,0.0
20150102:1710,0.0,0.0,12.26,1.1,0.0
20150102:1810,0.0,0.0,11.77,0.76,0.0
20150102:1910,0.0,0.0,8.0,1.59,0.0
20150102:2010,0.0,0.0,6.19,2.0,0.0
20150102:2110,0.0,0.0,5.83,2.34,0.0
20150102:2210,0.0,0.0,5.81,2.62,0.0
20150102:2310,0.0,0.0,5.75,2.76,0.0
20150103:0010,0.0,0.0,5.63,2.97,0.0
20150103:0110,0.0,0.0,5.57,3.03,0.0
20150103:0210,0.0,0.0,5.45,3.1,0.0
20150103:0310,0.0,0.0,5.31,3.1,0.0
20150103:0410,0.0,0.0,5.23,3.17,0.0
20150103:0510,0.0,0.0,5.21,3.17,0.0
20150103:0610,0.0,0.0,5.23,3.17,0.0
20150103:0710,0.0,0.0,5.17,3.24,0.0
20150103:0810,286.12,6.95,5.17,3.17,0.0
20150103:0910,552.42,15.43,6.87,2.9,0.0
20150103:1010,760.37,22.1,9.79,2.69,0.0
20150103:1110,855.94,26.35,12.89,2.48,0.0
20150103:1210,905.1,27.68,15.6,2.48,0.0
20150103:1310,855.59,25.89,17.63,2.48,0.0
20150103:1410,714.36,21.24,18.83,2.41,0.0
20150103:1510,522.31,14.26,18.74,1.86,0.0
20150103:1610,225.41,5.55,17.55,2.21,0.0
20150103:1710,0.0,0.0,15.33,2.69,0.0
20150103:1810,0.0,0.0,12.74,2.97,0.0
20150103:1910,0.0,0.0,11.42,3.1,0.0
20150103:2010,0.0,0.0,10.46,3.31,0.0
20150103:2110,0.0,0.0,9.74,3.52,0.0
20150103:2210,0.0,0.0,9.22,3.59,0.0
20150103:2310,0.0,0.0,8.81,3.72,0.0
20150104:0010,0.0,0.0,8.5,3.72,0.0
20150104:0110,0.0,0.0,8.16,3.72,0.0
20150104:0210,0.0,0.0,7.9,3.66,0.0
20150104:0310,0.0,0.0,7.71,3.59,0.0
20150104:0410,0.0,0.0,7.55,3.59,0.0
20150104:0510,0.0,0.0,7.43,3.52,0.0
20150104:0610,0.0,0.0,7.33,3.38,0.0
20150104:0710,0.0,0.0,7.59,3.24,0.0
20150104:0810,285.15,6.96,7.56,3.17,0.0
20150104:0910,550.92,15.46,8.97,2.83,0.0
20150104:1010,760.74,22.15,11.6,2.28,0.0
20150104:1110,864.23,26.43,14.25,1.59,0.0
20150104:1210,898.53,27.78,16.2,0.83,0.0
20150104:1310,850.61,26.01,17.28,0.55,0.0
20150104:1410,729.36,21.37,17.6,1.31,0.0
20150104:1510,509.02,14.4,17.13,1.93,0.0
20150104:1610,219.9,5.7,15.55,2.0,0.0
20150104:1710,0.0,0.0,13.58,1.86,0.0
20150104:1810,0.0,0.0,12.05,1.24,0.0
20150104:1910,0.0,0.0,10.75,1.24,0.0
20150104:2010,0.0,0.0,9.1,1.72,0.0
20150104:2110,0.0,0.0,7.76,1.72,0.0
20150104:2210,0.0,0.0,7.08,1.66,0.0
20150104:2310,0.0,0.0,6.52,1.66,0.0
20150105:0010,0.0,0.0,5.84,1.72,0.0
20150105:0110,0.0,0.0,5.54,1.79,0.0
20150105:0210,0.0,0.0,5.37,2.0,0.0
20150105:0310,0.0,0.0,5.38,2.14,0.0
20150105:0410,0.0,0.0,5.41,2.21,0.0
20150105:0510,0.0,0.0,5.37,2.14,0.0
20150105:0610,0.0,0.0,5.19,2.07,0.0
20150105:0710,0.0,0.0,5.05,2.07,0.0
20150105:0810,286.23,6.97,5.1,1.93,0.0
20150105:0910,546.45,15.5,7.62,1.52,0.0
20150105:1010,741.32,22.21,11.39,1.03,0.0
20150105:1110,864.56,26.52,13.43,0.34,0.0
20150105:1210,900.17,27.89,14.25,1.03,0.0
20150105:1310,845.42,26.14,14.62,1.79,0.0
20150105:1410,737.52,21.51,14.79,2.28,0.0
20150105:1510,522.91,14.55,14.46,2.41,0.0
20150105:1610,232.55,5.84,13.5,1.93,0.0
20150105:1710,0.0,0.0,12.09,1.59,0.0
20150105:1810,0.0,0.0,10.66,0.9,0.0
20150105:1910,0.0,0.0,10.64,0.97,0.0
20150105:2010,0.0,0.0,8.72,1.45,0.0
20150105:2110,0.0,0.0,7.5,1.72,0.0
20150105:2210,0.0,0.0,6.55,1.79,0.0
20150105:2310,0.0,0.0,5.97,1.79,0.0
20150106:0010,0.0,0.0,5.74,1.79,0.0
20150106:0110,0.0,0.0,5.66,1.86,0.0
20150106:0210,0.0,0.0,5.4,2.0,0.0
20150106:0310,0.0,0.0,5.47,2.28,0.0
20150106:0410,0.0,0.0,5.38,2.48,0.0
20150106:0510,0.0,0.0,5.35,2.48,0.0
20150106:0610,0.0,0.0,5.24,2.48,0.0
20150106:0710,0.0,0.0,5.65,2.14,0.0
20150106:0810,232.63,7.0,5.72,2.28,0.0
20150106:0910,557.01,15.54,7.16,2.07,0.0
20150106:1010,741.41,22.28,9.21,1.93,0.0
20150106:1110,842.65,26.61,11.32,1.45,0.0
20150106:1210,832.38,28.01,13.0,0.97,0.0
20150106:1310,778.97,26.28,13.87,1.1,0.0
20150106:1410,605.42,21.66,14.25,1.59,0.0
20150106:1510,335.31,14.7,14.18,1.86,0.0
20150106:1610,211.06,6.0,13.5,1.72,0.0
20150106:1710,0.0,0.0,12.31,1.59,0.0
20150106:1810,0.0,0.0,10.73,0.97,0.0
20150106:1910,0.0,0.0,10.91,0.34,0.0
20150106:2010,0.0,0.0,10.54,0.69,0.0
20150106:2110,0.0,0.0,7.71,1.59,0.0
20150106:2210,0.0,0.0,7.93,1.93,0.0
20150106:2310,0.0,0.0,7.9,2.14,0.0
20150107:0010,0.0,0.0,7.7,2.0,0.0
20150107:0110,0.0,0.0,7.14,1.93,0.0
20150107:0210,0.0,0.0,6.59,1.93,0.0
20150107:0310,0.0,0.0,6.12,1.93,0.0
20150107:0410,0.0,0.0,5.84,2.0,0.0
20150107:0510,0.0,0.0,5.71,2.0,0.0
20150107:0610,0.0,0.0,5.79,2.07,0.0
20150107:0710,0.0,0.0,6.45,2.0,0.0
20150107:0810,98.25,7.02,6.83,2.07,0.0
20150107:0910,113.97,15.59,8.59,1.79,0.0
20150107:1010,132.2,22.35,10.71,1.59,0.0
20150107:1110,590.95,26.71,12.29,1.38,0.0
20150107:1210,211.53,28.13,13.12,0.76,0.0
20150107:1310,516.07,26.42,13.73,0.83,0.0
20150107:1410,717.4,21.81,14.08,1.1,0.0
20150107:1510,524.63,14.85,13.86,2.07,0.0
20150107:1610,238.2,6.15,13.11,2.62,0.0
20150107:1710,0.0,0.0,11.64,2.41,0.0
20150107:1810,0.0,0.0,10.67,1.72,0.0
20150107:1910,0.0,0.0,10.55,0.69,0.0
20150107:2010,0.0,0.0,10.68,0.41,0.0
20150107:2110,0.0,0.0,9.03,1.1,0.0
20150107:2210,0.0,0.0,8.0,1.38,0.0
20150107:2310,0.0,0.0,7.52,1.66,0.0
20150108:0010,0.0,0.0,7.18,1.79,0.0
20150108:0110,0.0,0.0,7.11,1.86,0.0
20150108:0210,0.0,0.0,7.18,1.93,0.0
20150108:0310,0.0,0.0,6.68,2.0,0.0
20150108:0410,0.0,0.0,6.31,2.0,0.0
20150108:0510,0.0,0.0,5.87,2.14,0.0
20150108:0610,0.0,0.0,5.28,2.14,0.0
20150108:0710,0.0,0.0,6.23,1.93,0.0
20150108:0810,261.29,7.06,6.09,2.0,0.0
20150108:0910,533.94,15.64,7.71,1.66,0.0
20150108:1010,735.84,22.43,10.14,1.38,0.0
20150108:1110,845.39,26.82,12.04,1.03,0.0
20150108:1210,912.29,28.27,13.34,0.62,0.0
20150108:1310,836.04,26.57,14.25,0.48,0.0
20150108:1410,733.24,21.97,14.74,1.03,0.0
20150108:1510,526.78,15.02,14.71,1.59,0.0
20150108:1610,246.48,6.31,13.83,2.0,0.0
20150108:1710,0.0,0.0,12.06,2.14,0.0
20150108:1810,0.0,0.0,10.63,1.59,0.0
20150108:1910,0.0,0.0,10.77,0.62,0.0
20150108:2010,0.0,0.0,9.12,1.1,0.0
20150108:2110,0.0,0.0,7.28,1.45,0.0
20150108:2210,0.0,0.0,5.93,1.52,0.0
20150108:2310,0.0,0.0,4.88,1.86,0.0
20150109:0010,0.0,0.0,4.88,2.28,0.0
20150109:0110,0.0,0.0,4.78,2.41,0.0
20150109:0210,0.0,0.0,4.84,2.48,0.0
20150109:0310,0.0,0.0,4.96,2.55,0.0
20150109:0410,0.0,0.0,5.05,2.69,0.0
20150109:0510,0.0,0.0,4.97,2.76,0.0
20150109:0610,0.0,0.0,4.86,2.83,0.0
20150109:0710,0.0,0.0,4.63,2.83,0.0
20150109:0810,285.22,7.1,4.69,2.76,0.0
20150109:0910,562.22,15.7,6.57,2.41,0.0
20150109:1010,757.2,22.52,9.73,2.14,0.0
20150109:1110,868.07,26.93,12.71,1.72,0.0
20150109:1210,914.83,28.4,15.05,1.45,0.0
20150109:1310,853.97,26.73,16.6,1.52,0.0
20150109:1410,742.91,22.14,17.5,1.66,0.0
20150109:1510,546.22,15.18,17.7,1.66,0.0
20150109:1610,251.75,6.48,16.51,1.79,0.0
20150109:1710,0.0,0.0,14.49,1.66,0.0
20150109:1810,0.0,0.0,11.94,1.24,0.0
20150109:1910,0.0,0.0,9.51,2.0,0.0
20150109:2010,0.0,0.0,8.19,2.41,0.0
20150109:2110,0.0,0.0,7.81,2.69,0.0
20150109:2210,0.0,0.0,7.49,2.83,0.0
20150109:2310,0.0,0.0,7.19,2.97,0.0
20150110:0010,0.0,0.0,6.84,3.1,0.0
20150110:0110,0.0,0.0,6.57,3.1,0.0
20150110:0210,0.0,0.0,6.35,3.17,0.0
20150110:0310,0.0,0.0,6.17,3.17,0.0
20150110:0410,0.0,0.0,6.09,3.31,0.0
20150110:0510,0.0,0.0,6.09,3.45,0.0
20150110:0610,0.0,0.0,6.09,3.45,0.0
20150110:0710,0.0,0.0,6.21,3.52,0.0
20150110:0810,295.3,7.14,6.31,3.45,0.0
20150110:0910,567.11,15.77,8.21,3.24,0.0
20150110:1010,763.52,22.61,11.37,3.03,0.0
20150110:1110,883.71,27.05,14.68,2.83,0.0
20150110:1210,924.0,28.55,17.49,2.62,0.0
20150110:1310,856.26,26.89,19.55,2.41,0.0
20150110:1410,752.2,22.31,20.71,2.14,0.0
20150110:1510,544.36,15.35,20.73,1.38,0.0
20150110:1610,259.13,6.65,19.38,1.59,0.0
20150110:1710,0.0,0.0,16.23,1.86,0.0
20150110:1810,0.0,0.0,13.32,2.76,0.0
20150110:1910,0.0,0.0,11.37,2.69,0.0
20150110:2010,0.0,0.0,10.17,2.97,0.0
20150110:2110,0.0,0.0,9.43,3.17,0.0
20150110:2210,0.0,0.0,8.92,3.31,0.0
20150110:2310,0.0,0.0,8.56,3.31,0.0
20150111:0010,0.0,0.0,8.21,3.38,0.0
20150111:0110,0.0,0.0,7.96,3.45,0.0
20150111:0210,0.0,0.0,7.7,3.45,0.0
