"Latitude (decimal degrees):	39.482"
"Longitude (decimal degrees):	-0.338"
"Elevation (m):	12"
"Radiation database:	PVGIS-SARAH2"


Slope: 36 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20160101:0010,0.0,0.0,12.47,1.52,0.0
20160101:0110,0.0,0.0,12.37,1.31,0.0
20160101:0210,0.0,0.0,12.19,1.1,0.0
20160101:0310,0.0,0.0,12.21,1.03,0.0
20160101:0410,0.0,0.0,12.1,1.31,0.0
20160101:0510,0.0,0.0,12.1,1.38,0.0
20160101:0610,0.0,0.0,12.11,1.38,0.0
20160101:0710,0.0,0.0,12.13,1.17,0.0
20160101:0810,56.8,6.95,12.12,0.97,0.0
20160101:0910,431.08,15.4,13.19,0.55,0.0
20160101:1010,150.55,22.02,14.35,0.28,0.0
20160101:1110,237.86,26.22,15.36,0.76,0.0
20160101:1210,372.33,27.5,16.37,0.97,0.0
20160101:1310,227.84,25.67,17.55,1.31,0.0
20160101:1410,517.94,20.99,18.35,1.79,0.0
20160101:1510,247.06,14.0,18.38,2.34,0.0
20160101:1610,71.24,5.28,17.42,2.14,0.0
20160101:1710,0.0,0.0,16.04,2.0,0.0
20160101:1810,0.0,0.0,14.99,1.72,0.0
20160101:1910,0.0,0.0,14.34,1.52,0.0
20160101:2010,0.0,0.0,13.2,1.45,0.0
20160101:2110,0.0,0.0,12.68,1.86,0.0
20160101:2210,0.0,0.0,12.57,2.07,0.0
20160101:2310,0.0,0.0,12.93,2.41,0.0
20160102:0010,0.0,0.0,13.51,2.83,0.0
20160102:0110,0.0,0.0,13.98,3.03,0.0
20160102:0210,0.0,0.0,14.58,3.31,0.0
20160102:0310,0.0,0.0,15.27,3.79,0.0
20160102:0410,0.0,0.0,15.75,3.79,0.0
20160102:0510,0.0,0.0,15.63,3.79,0.0
20160102:0610,0.0,0.0,14.91,3.38,0.0
20160102:0710,0.0,0.0,13.97,3.45,0.0
20160102:0810,287.17,6.95,13.19,3.93,0.0
20160102:0910,0.0,0.0,13.59,4.48,0.0
20160102:1010,423.85,22.06,14.11,5.03,0.0
20160102:1110,77.53,26.28,14.8,5.52,0.0
20160102:1210,379.98,27.58,15.35,5.24,0.0
20160102:1310,820.73,25.78,16.07,4.9,0.0
20160102:1410,700.08,21.11,16.83,4.48,0.0
20160102:1510,483.12,14.12,17.0,4.34,0.0
20160102:1610,193.39,5.42,16.36,4.0,0.0
20160102:1710,0.0,0.0,14.96,3.79,0.0
20160102:1810,0.0,0.0,13.92,3.59,0.0
20160102:1910,0.0,0.0,13.19,3.24,0.0
20160102:2010,0.0,0.0,12.34,3.24,0.0
20160102:2110,0.0,0.0,11.69,3.38,0.0
20160102:2210,0.0,0.0,11.28,3.45,0.0
20160102:2310,0.0,0.0,10.82,3.31,0.0
20160103:0010,0.0,0.0,10.46,3.45,0.0
20160103:0110,0.0,0.0,10.36,3.31,0.0
20160103:0210,0.0,0.0,10.44,3.45,0.0
20160103:0310,0.0,0.0,10.64,3.38,0.0
20160103:0410,0.0,0.0,10.82,3.1,0.0
20160103:0510,0.0,0.0,10.89,2.9,0.0
20160103:0610,0.0,0.0,10.79,3.17,0.0
20160103:0710,0.0,0.0,10.85,3.86,0.0
20160103:0810,27.69,6.95,11.15,4.0,0.0
20160103:0910,109.45,15.43,12.02,4.34,0.0
20160103:1010,189.0,22.1,12.59,4.76,0.0
20160103:1110,107.07,26.35,12.68,4.76,0.0
20160103:1210,129.22,27.68,14.02,4.9,0.0
20160103:1310,49.84,25.89,15.86,6.76,0.0
20160103:1410,82.15,21.24,16.51,6.69,0.0
20160103:1510,27.69,14.26,16.78,6.69,0.0
20160103:1610,44.54,5.55,16.48,6.28,0.0
20160103:1710,0.0,0.0,16.1,5.72,0.0
20160103:1810,0.0,0.0,15.91,5.59,0.0
20160103:1910,0.0,0.0,15.33,5.38,0.0
20160103:2010,0.0,0.0,15.1,4.62,0.0
20160103:2110,0.0,0.0,15.36,4.62,0.0
20160103:2210,0.0,0.0,15.62,4.83,0.0
20160103:2310,0.0,0.0,16.06,5.24,0.0
20160104:0010,0.0,0.0,16.52,5.72,0.0
20160104:0110,0.0,0.0,16.85,5.52,0.0
20160104:0210,0.0,0.0,16.99,5.24,0.0
20160104:0310,0.0,0.0,17.19,4.97,0.0
20160104:0410,0.0,0.0,17.41,4.9,0.0
20160104:0510,0.0,0.0,17.55,4.69,0.0
20160104:0610,0.0,0.0,17.49,4.41,0.0
20160104:0710,0.0,0.0,18.12,4.55,0.0
20160104:0810,77.72,6.96,18.27,4.48,0.0
20160104:0910,148.96,15.46,18.82,4.62,0.0
20160104:1010,61.84,22.15,19.41,4.97,0.0
20160104:1110,67.38,26.43,19.79,5.93,0.0
20160104:1210,74.77,27.78,20.59,6.83,0.0
20160104:1310,36.0,26.01,21.2,7.31,0.0
20160104:1410,95.07,21.37,21.41,6.83,0.0
20160104:1510,40.61,14.4,21.13,5.86,0.0
20160104:1610,18.46,5.7,20.4,5.66,0.0
20160104:1710,0.0,0.0,19.37,5.59,0.0
20160104:1810,0.0,0.0,18.7,5.72,0.0
20160104:1910,0.0,0.0,17.99,6.14,0.0
20160104:2010,0.0,0.0,17.71,5.79,0.0
20160104:2110,0.0,0.0,17.42,4.9,0.0
20160104:2210,0.0,0.0,17.16,4.34,0.0
20160104:2310,0.0,0.0,16.96,4.0,0.0
20160105:0010,0.0,0.0,16.93,3.72,0.0
20160105:0110,0.0,0.0,16.77,3.03,0.0
20160105:0210,0.0,0.0,16.05,2.34,0.0
20160105:0310,0.0,0.0,15.56,2.14,0.0
20160105:0410,0.0,0.0,15.02,2.21,0.0
20160105:0510,0.0,0.0,14.55,2.55,0.0
20160105:0610,0.0,0.0,14.12,2.97,0.0
20160105:0710,0.0,0.0,13.28,2.83,0.0
20160105:0810,73.04,6.97,13.08,3.24,0.0
20160105:0910,253.2,15.5,13.32,3.59,0.0
20160105:1010,724.41,22.21,14.27,4.14,0.0
20160105:1110,859.48,26.52,14.95,4.69,0.0
20160105:1210,850.54,27.89,15.6,5.24,0.0
20160105:1310,834.31,26.14,16.25,6.0,0.0
20160105:1410,713.77,21.51,16.2,6.41,0.0
20160105:1510,502.63,14.55,15.59,6.48,0.0
20160105:1610,233.44,5.84,14.51,5.66,0.0
20160105:1710,0.0,0.0,13.32,5.24,0.0
20160105:1810,0.0,0.0,12.34,5.31,0.0
20160105:1910,0.0,0.0,11.47,5.66,0.0
20160105:2010,0.0,0.0,11.04,5.52,0.0
20160105:2110,0.0,0.0,10.75,5.45,0.0
20160105:2210,0.0,0.0,10.49,5.45,0.0
20160105:2310,0.0,0.0,10.21,5.45,0.0
20160106:0010,0.0,0.0,9.9,5.45,0.0
20160106:0110,0.0,0.0,9.57,5.38,0.0
20160106:0210,0.0,0.0,9.27,5.31,0.0
20160106:0310,0.0,0.0,9.03,5.24,0.0
20160106:0410,0.0,0.0,8.79,5.24,0.0
20160106:0510,0.0,0.0,8.57,5.17,0.0
20160106:0610,0.0,0.0,8.36,5.59,0.0
20160106:0710,0.0,0.0,8.39,6.28,0.0
20160106:0810,284.79,7.0,8.4,6.83,0.0
20160106:0910,551.8,15.54,9.07,6.62,0.0
20160106:1010,476.29,22.28,10.28,7.45,0.0
20160106:1110,300.34,26.61,11.69,7.93,0.0
