Latitude (decimal degrees):	39.482
Longitude (decimal degrees):	-0.338
Elevation (m):	12
Radiation database:	PVGIS-SARAH2


Slope: 36 deg. (optimum)
Azimuth: 0 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,13.52,5.03,0.0
20180101:0110,0.0,0.0,12.82,4.9,0.0
20180101:0210,0.0,0.0,12.1,5.17,0.0
20180101:0310,0.0,0.0,11.5,5.24,0.0
20180101:0410,0.0,0.0,10.95,4.97,0.0
20180101:0510,0.0,0.0,10.45,4.48,0.0
20180101:0610,0.0,0.0,9.91,4.07,0.0
20180101:0710,0.0,0.0,9.74,4.0,0.0
20180101:0810,281.41,6.95,9.66,4.07,0.0
20180101:0910,545.79,15.4,10.85,4.07,0.0
20180101:1010,722.01,22.02,12.71,5.31,0.0
20180101:1110,551.36,26.22,14.43,5.93,0.0
20180101:1210,419.11,27.5,15.76,6.48,0.0
20180101:1310,800.08,25.67,16.72,6.83,0.0
20180101:1410,583.06,20.99,17.28,6.83,0.0
20180101:1510,501.23,14.0,17.31,6.69,0.0
20180101:1610,236.85,5.28,16.55,6.0,0.0
20180101:1710,0.0,0.0,15.35,5.86,0.0
20180101:1810,0.0,0.0,14.61,5.86,0.0
20180101:1910,0.0,0.0,14.37,6.14,0.0
20180101:2010,0.0,0.0,13.93,5.52,0.0
20180101:2110,0.0,0.0,13.5,5.31,0.0
20180101:2210,0.0,0.0,13.27,4.97,0.0
20180101:2310,0.0,0.0,12.98,4.83,0.0
20180102:0010,0.0,0.0,12.74,5.03,0.0
20180102:0110,0.0,0.0,12.43,5.24,0.0
20180102:0210,0.0,0.0,12.19,5.17,0.0
20180102:0310,0.0,0.0,11.97,5.1,0.0
20180102:0410,0.0,0.0,11.71,5.24,0.0
20180102:0510,0.0,0.0,11.4,5.31,0.0
20180102:0610,0.0,0.0,11.13,5.45,0.0
20180102:0710,0.0,0.0,11.38,5.1,0.0
20180102:0810,240.71,6.95,11.42,5.45,0.0
20180102:0910,511.22,15.41,12.47,5.24,0.0
20180102:1010,567.13,22.06,13.92,5.86,0.0
20180102:1110,496.21,26.28,15.55,5.72,0.0
20180102:1210,305.17,27.58,16.84,5.86,0.0
20180102:1310,799.64,25.78,18.27,6.0,0.0
20180102:1410,653.18,21.11,19.08,6.07,0.0
20180102:1510,470.63,14.12,19.39,5.72,0.0
20180102:1610,230.68,5.42,18.82,5.38,0.0
20180102:1710,0.0,0.0,17.48,5.38,0.0
20180102:1810,0.0,0.0,16.49,5.24,0.0
20180102:1910,0.0,0.0,16.14,5.38,0.0
20180102:2010,0.0,0.0,15.54,5.45,0.0
20180102:2110,0.0,0.0,15.06,5.31,0.0
20180102:2210,0.0,0.0,14.71,4.9,0.0
20180102:2310,0.0,0.0,14.34,4.48,0.0
20180103:0010,0.0,0.0,14.03,4.34,0.0
20180103:0110,0.0,0.0,13.74,4.48,0.0
20180103:0210,0.0,0.0,13.52,4.83,0.0
20180103:0310,0.0,0.0,13.37,4.97,0.0
20180103:0410,0.0,0.0,13.26,5.03,0.0
20180103:0510,0.0,0.0,13.24,5.03,0.0
20180103:0610,0.0,0.0,13.27,4.97,0.0
20180103:0710,0.0,0.0,13.32,5.38,0.0
20180103:0810,115.75,6.95,13.48,5.52,0.0
20180103:0910,160.05,15.43,14.82,5.66,0.0
20180103:1010,376.17,22.1,16.84,5.59,0.0
20180103:1110,346.89,26.35,18.95,6.0,0.0
20180103:1210,745.34,27.68,20.56,6.07,0.0
20180103:1310,671.68,25.89,21.84,6.14,0.0
20180103:1410,650.61,21.24,22.77,5.79,0.0
20180103:1510,478.63,14.26,22.84,5.03,0.0
20180103:1610,208.03,5.55,21.61,4.9,0.0
20180103:1710,0.0,0.0,19.52,5.1,0.0
20180103:1810,0.0,0.0,18.12,5.03,0.0
20180103:1910,0.0,0.0,17.15,5.52,0.0
20180103:2010,0.0,0.0,16.37,5.24,0.0
20180103:2110,0.0,0.0,15.87,5.31,0.0
20180103:2210,0.0,0.0,15.65,5.1,0.0
20180103:2310,0.0,0.0,15.43,4.97,0.0
20180104:0010,0.0,0.0,15.22,4.97,0.0
20180104:0110,0.0,0.0,14.95,5.03,0.0
20180104:0210,0.0,0.0,14.75,5.1,0.0
20180104:0310,0.0,0.0,14.58,5.03,0.0
20180104:0410,0.0,0.0,14.49,4.9,0.0
20180104:0510,0.0,0.0,14.34,4.76,0.0
20180104:0610,0.0,0.0,14.2,4.69,0.0
20180104:0710,0.0,0.0,14.06,6.0,0.0
